Location	Category	Sub Category	Brand	Offer	Start Date	End Date
Jaipur	Travel	Tour & travels	Vaishno Tours & Travels	7% off on total billing (as per card rate)	"September 11, 2013"	"September 30, 2014"
Udaipur	Apparels	Apparels	Tulsi Boutique	15% off on total billing (as per card rate)	"October 10, 2013"	"September 13, 2014"
Jaipur	Hotels	Restaurant	Doorbeen Restaurant Pvt. Ltd.	10% off on total billing (as per Card rate)	"October 15, 2013"	"October 14, 2014"
Jaipur	Hotels	Restaurant	The Theme	15% off on F&B billing 40% off on room rack Rate (As per card rate)	"October 16, 2013"	"October 15, 2014"
Jaipur	Dining	Restaurant	Masakali Veg Restaurant	15% discount on total billing of food (as per card rate)	"September 11, 2013"	"September 30, 2014"
Jaipur	Home decor	Furnishings	Shrinath Furnishing	10% off on furnishing items	"September 11, 2013"	"September 30, 2014"
Jaipur	Dining	Restaurant	Precious Foods	10% discount on purchase of 500 & above (as per card rate)	"October 15, 2013"	"October 14, 2014"
Jaipur	Retail	Jewellery	Bedi Jewellery House	20% discount on making charges (as per card rate)	"September 15, 2013"	"September 14, 2014"
Jaipur	Home decor	Furnishings	Heritage Home	20% off on total billing (as per card rate)	"September 11, 2013"	"September 30, 2014"
Lucknow	Health & Wellness	Health equipment	Agarwal Cycles	"10% baby products,7% cycles, 10% fitness"	"October 1, 2013"	"August 31, 2014"
Lucknow	Retail	Jewels	Khun Khunji Jeweler	100% off on making charges of gold ornaments                              	"September 11, 2013"	"August 31, 2014"
Lucknow	Health & Wellness	Healthcare	Club I Fit	20% purchase of fitness equipment	"September 21, 2013"	"December 31, 2014"
Lucknow	Retail	Clothes	Abhishek Traders	5% off on the total bill	"September 11, 2013"	"August 31, 2014"
Lucknow	Hotels	Bakery	The Cherry Tree	10% off on total bill value	"September 20, 2013"	"December 31, 2014"
Allahabad	Dining	Restaurant	Tandoor	20% discount	"September 1, 2013"	"September 20, 2014"
Allahabad	Retail	Watch store	Gogia Watch Co	Up to 20% off on purchase of 1000 and above	"September 1, 2013"	"August 31, 2014"
Allahabad	Health & Wellness	Hospital	Divine Touch Dental Hospital &Research Center	"Below 2000-15% discount, 2001 and above-20% discount"	"September 11, 2013"	"August 31, 2014"
Allahabad	Dining	Restaurant	Aryan _ Allahabad ( T. P. Foods & Beverages Pvt. Ltd)	10% on total billing of 500 &above	"September 1, 2013"	"December 31, 2014"
Lucknow	Retail	Jewels	Panjab Jewelers And Sons	10% off on purchase of diamond jewelry	"September 21, 2013"	"August 31, 2014"
